,bitcoin_cash_MAvg_Close,bitcoin_MAvg_Close,bitconnect_MAvg_Close,dash_MAvg_Close,ethereum_MAvg_Close,ethereum_classic_MAvg_Close,iota_MAvg_Close,litecoin_MAvg_Close,monero_MAvg_Close,nem_MAvg_Close,neo_MAvg_Close,numeraire_MAvg_Close,omisego_MAvg_Close,qtum_MAvg_Close,ripple_MAvg_Close,stratis_MAvg_Close,waves_MAvg_Close
26,483.7,4289.6,119.4,230.0,299.8,14.0,1.0,45.1,47.6,0.2,41.7,34.2,8.2,13.0,0.2,5.9,4.6
27,635.1,4228.7,119.7,248.9,298.2,13.8,1.0,45.6,50.0,0.2,39.8,34.6,7.8,12.1,0.2,5.8,4.4
28,719.2,4147.3,119.3,269.1,298.2,13.8,0.9,46.3,52.5,0.3,39.0,37.5,7.9,11.7,0.2,5.7,4.5
29,689.0,4094.4,117.6,287.5,306.8,14.0,0.9,46.5,62.8,0.3,37.8,37.3,8.0,11.6,0.2,5.6,4.6
30,667.8,4063.3,117.7,288.4,312.6,14.3,0.9,47.0,74.6,0.3,36.4,37.6,7.9,11.4,0.2,5.6,4.6
31,653.3,4084.6,121.4,287.9,318.0,14.7,0.9,49.3,86.4,0.3,37.1,35.6,7.8,11.4,0.2,5.7,4.5
32,662.8,4195.6,125.2,299.8,319.3,14.9,0.9,50.1,89.3,0.3,39.3,35.8,8.1,12.2,0.2,5.9,4.7
33,646.2,4285.9,118.6,307.9,325.0,15.2,0.9,51.5,95.0,0.3,40.8,35.7,8.3,13.0,0.2,6.0,5.0
34,631.5,4352.9,114.7,343.7,330.5,15.2,0.9,51.0,110.9,0.3,40.3,35.2,8.3,14.2,0.2,6.1,5.2
35,629.1,4369.0,110.7,359.5,337.9,15.5,0.9,54.7,125.7,0.3,39.7,35.2,8.3,14.8,0.2,6.4,5.3
36,614.1,4372.6,116.6,373.2,343.2,15.7,0.9,58.4,138.0,0.3,39.0,35.5,8.4,15.8,0.2,6.8,5.3
37,590.0,4448.2,120.7,359.7,355.4,15.9,0.9,62.2,136.4,0.3,37.4,35.5,8.8,17.0,0.2,7.1,5.3
38,574.8,4509.0,127.7,361.6,365.6,15.7,0.9,63.2,136.9,0.3,35.1,35.6,9.7,17.4,0.2,7.2,5.4
39,572.1,4615.9,133.3,368.7,377.4,15.9,0.8,66.1,135.3,0.3,33.3,35.5,10.8,17.8,0.2,7.2,5.6
40,595.2,4720.2,137.6,380.0,383.1,18.0,0.8,73.8,138.0,0.3,32.8,34.6,11.6,17.5,0.2,7.3,5.7
41,595.4,4724.7,136.0,373.9,373.3,19.5,0.8,78.7,135.5,0.3,32.3,31.8,11.5,17.3,0.2,7.0,5.6
42,601.8,4684.6,134.4,366.6,361.4,20.2,0.7,80.6,130.7,0.3,31.4,28.9,11.1,16.6,0.2,6.7,5.4
43,566.9,4466.0,125.5,340.9,330.5,18.2,0.7,73.7,119.0,0.3,28.0,25.0,10.0,14.2,0.2,6.2,5.0
44,555.5,4398.6,124.8,333.2,318.5,17.0,0.6,71.1,117.0,0.3,25.0,23.1,10.1,12.7,0.2,6.1,4.9
45,565.7,4403.3,126.6,330.2,314.2,17.1,0.6,72.2,115.5,0.3,22.0,21.5,10.5,11.4,0.2,6.0,4.9
