Date,Open,High,Low,Close,Volume,Market Cap
"Sep 01, 2016",0.005699,0.005761,0.005459,0.005569,121379.00,51288500.00
"Aug 31, 2016",0.005868,0.005888,0.005529,0.005698,159010.00,52810100.00
"Aug 30, 2016",0.005853,0.005946,0.005759,0.005867,95943.00,52675100.00
"Aug 29, 2016",0.005927,0.006012,0.005779,0.005828,118219.00,53338500.00
"Aug 28, 2016",0.00571,0.006038,0.005542,0.005945,240770.00,51394100.00
"Aug 27, 2016",0.005858,0.005859,0.005508,0.005711,170161.00,52722200.00
"Aug 26, 2016",0.005886,0.006129,0.005854,0.005858,93546.00,52973900.00
"Aug 25, 2016",0.005758,0.006045,0.005703,0.005867,132621.00,51825000.00
"Aug 24, 2016",0.00562,0.005774,0.00553,0.005764,68332.00,50575500.00
"Aug 23, 2016",0.006185,0.006268,0.005441,0.005559,195676.00,55667600.00
"Aug 22, 2016",0.006331,0.00643,0.006155,0.006214,111892.00,56980200.00
"Aug 21, 2016",0.006495,0.006607,0.006222,0.006325,85870.00,58457900.00
"Aug 20, 2016",0.006835,0.006839,0.00631,0.006537,104600.00,61519400.00
"Aug 19, 2016",0.006415,0.006933,0.006415,0.006836,159428.00,57736600.00
"Aug 18, 2016",0.006253,0.006671,0.006253,0.006414,155516.00,56279200.00
"Aug 17, 2016",0.006214,0.006389,0.00617,0.006254,77010.00,55927500.00
"Aug 16, 2016",0.006281,0.00637,0.006043,0.006193,144676.00,56531000.00
"Aug 15, 2016",0.00649,0.006576,0.006317,0.006351,172606.00,58406800.00
"Aug 14, 2016",0.00657,0.006735,0.006254,0.006493,297574.00,59133000.00
"Aug 13, 2016",0.006756,0.006972,0.00633,0.006562,321962.00,60806800.00
"Aug 12, 2016",0.005678,0.007088,0.005669,0.006686,782251.00,51100000.00
"Aug 11, 2016",0.00555,0.005847,0.005526,0.005666,130541.00,49947700.00
"Aug 10, 2016",0.00544,0.00596,0.005435,0.005549,339475.00,48959600.00
"Aug 09, 2016",0.005006,0.006043,0.004925,0.005501,627845.00,45057700.00
"Aug 08, 2016",0.005004,0.00517,0.004986,0.005006,123853.00,45039100.00
"Aug 07, 2016",0.005326,0.005423,0.004933,0.005018,246072.00,47930600.00
"Aug 06, 2016",0.005283,0.005355,0.005108,0.005326,181672.00,47550300.00
"Aug 05, 2016",0.005298,0.005339,0.005167,0.005282,116694.00,47682700.00
"Aug 04, 2016",0.005151,0.005655,0.005151,0.005288,371559.00,46362300.00
"Aug 03, 2016",0.005039,0.005274,0.004939,0.005146,450543.00,45354300.00
"Aug 02, 2016",0.006278,0.006331,0.004811,0.004997,730517.00,56505200.00
"Aug 01, 2016",0.006659,0.006692,0.006228,0.006295,228840.00,59935500.00
"Jul 31, 2016",0.006739,0.006775,0.006534,0.006658,141660.00,60650100.00
"Jul 30, 2016",0.006589,0.00677,0.006559,0.006726,87991.00,59304900.00
"Jul 29, 2016",0.006627,0.006657,0.006533,0.006589,65604.00,59642700.00
"Jul 28, 2016",0.006627,0.006706,0.00653,0.006628,132462.00,59639600.00
"Jul 27, 2016",0.006569,0.006982,0.006538,0.006644,304369.00,59122000.00
"Jul 26, 2016",0.00696,0.007045,0.006387,0.006586,437248.00,62637000.00
"Jul 25, 2016",0.00686,0.007039,0.006706,0.00701,191396.00,61739600.00
"Jul 24, 2016",0.007226,0.007226,0.006758,0.006881,227133.00,65035800.00
"Jul 23, 2016",0.006742,0.007639,0.006685,0.007226,651708.00,60675500.00
"Jul 22, 2016",0.006843,0.006926,0.006391,0.00673,469661.00,61584000.00
"Jul 21, 2016",0.007215,0.00728,0.00667,0.006802,345004.00,64930600.00
"Jul 20, 2016",0.006756,0.00735,0.006725,0.007206,404954.00,60800600.00
"Jul 19, 2016",0.007556,0.007556,0.006501,0.006758,775842.00,68000700.00
"Jul 18, 2016",0.0077,0.007771,0.00746,0.007542,196177.00,69302900.00
"Jul 17, 2016",0.007904,0.007973,0.007626,0.00772,352705.00,71140300.00
"Jul 16, 2016",0.008115,0.008312,0.007863,0.007903,301630.00,73032200.00
"Jul 15, 2016",0.008092,0.008341,0.007994,0.008158,458812.00,72828300.00
"Jul 14, 2016",0.008694,0.008855,0.007394,0.008096,894330.00,78243100.00
"Jul 13, 2016",0.009293,0.009427,0.00864,0.00868,653997.00,83638400.00
