Date,Open,High,Low,Close,Volume,Market Cap
"Oct 17, 2017",4.04,4.05,3.84,3.92,4954490.00,404005000.00
"Oct 16, 2017",3.8,4.14,3.65,4.02,4972740.00,380320000.00
"Oct 15, 2017",4.01,4.02,3.68,3.8,4384340.00,401032000.00
"Oct 14, 2017",3.98,4.09,3.81,4,5190930.00,397686000.00
"Oct 13, 2017",3.69,4.03,3.59,3.97,6777070.00,369201000.00
"Oct 12, 2017",4.18,4.2,3.69,3.69,6289170.00,417611000.00
"Oct 11, 2017",4.11,4.41,4.08,4.18,7296340.00,410915000.00
"Oct 10, 2017",4.11,4.26,3.92,4.12,5675270.00,410737000.00
"Oct 09, 2017",4.44,4.63,4.01,4.13,6698160.00,443937000.00
"Oct 08, 2017",5.01,5.04,4.44,4.44,7717430.00,501163000.00
"Oct 07, 2017",4.96,5.04,4.91,5.02,6760300.00,495816000.00
"Oct 06, 2017",4.97,5.1,4.91,4.97,6574960.00,497017000.00
"Oct 05, 2017",4.92,5.04,4.76,4.97,6804000.00,491795000.00
"Oct 04, 2017",4.74,5.08,4.71,4.91,8679860.00,474477000.00
"Oct 03, 2017",4.87,5,4.67,4.73,6975040.00,486590000.00
"Oct 02, 2017",4.97,4.98,4.81,4.85,7422400.00,497344000.00
"Oct 01, 2017",5.03,5.05,4.84,4.97,8233020.00,502985000.00
"Sep 30, 2017",4.93,5.2,4.93,5.04,7480680.00,493143000.00
"Sep 29, 2017",4.77,5.04,4.39,4.93,8515820.00,476743000.00
"Sep 28, 2017",5.17,5.17,4.73,4.78,8795790.00,516674000.00
"Sep 27, 2017",4.77,5.19,4.77,5.17,11447500.00,477461000.00
"Sep 26, 2017",4.23,4.86,4.23,4.79,7713420.00,422807000.00
"Sep 25, 2017",3.97,4.3,3.92,4.23,5218940.00,396943000.00
"Sep 24, 2017",3.97,3.98,3.8,3.97,5012110.00,396513000.00
"Sep 23, 2017",3.76,3.99,3.71,3.97,4950050.00,375579000.00
"Sep 22, 2017",3.65,3.84,3.56,3.77,2723740.00,365050000.00
"Sep 21, 2017",4.05,4.08,3.57,3.64,2914710.00,405445000.00
"Sep 20, 2017",4.14,4.29,3.96,4.07,3910370.00,413510000.00
"Sep 19, 2017",4.36,4.38,4,4.16,3403370.00,435701000.00
"Sep 18, 2017",3.64,4.4,3.64,4.34,4080300.00,363799000.00
"Sep 17, 2017",3.77,3.81,3.49,3.64,3406720.00,376569000.00
"Sep 16, 2017",3.77,3.9,3.49,3.76,4499490.00,377410000.00
"Sep 15, 2017",3.12,3.94,2.8,3.78,6270110.00,311752000.00
"Sep 14, 2017",3.95,4.05,3.09,3.09,4470510.00,394740000.00
"Sep 13, 2017",4.36,4.36,3.75,3.95,4928930.00,436202000.00
"Sep 12, 2017",4.35,4.61,4.26,4.38,5306860.00,434806000.00
"Sep 11, 2017",4.44,4.57,4.16,4.35,4908140.00,443783000.00
"Sep 10, 2017",4.45,4.58,3.99,4.41,5469690.00,444828000.00
"Sep 09, 2017",4.51,4.59,4.37,4.46,5406880.00,451034000.00
"Sep 08, 2017",4.99,5.03,4.28,4.5,5899500.00,498706000.00
"Sep 07, 2017",5.1,5.13,4.9,4.98,6353830.00,510327000.00
"Sep 06, 2017",4.99,5.41,4.93,5.16,6069650.00,499259000.00
"Sep 05, 2017",4.68,5.1,4.32,4.98,6194560.00,467862000.00
"Sep 04, 2017",5.2,5.21,4.24,4.66,8324540.00,519570000.00
"Sep 03, 2017",5.27,5.5,4.99,5.2,5174780.00,526827000.00
"Sep 02, 2017",5.78,5.87,5.07,5.23,6608910.00,577688000.00
"Sep 01, 2017",5.95,6.1,5.72,5.74,9556080.00,595498000.00
"Aug 31, 2017",5.47,5.94,5.38,5.94,9471090.00,546851000.00
"Aug 30, 2017",5.44,5.49,5.13,5.48,6659820.00,544366000.00
"Aug 29, 2017",5.27,5.47,5.13,5.45,7581710.00,527066000.00
"Aug 28, 2017",5.22,5.41,5.02,5.26,7208780.00,522486000.00
"Aug 27, 2017",5.34,5.51,5.18,5.23,7212980.00,534242000.00
"Aug 26, 2017",5.28,5.74,5.11,5.32,9123230.00,528242000.00
"Aug 25, 2017",5.02,5.46,4.94,5.27,9306450.00,502380000.00
"Aug 24, 2017",4.63,5.02,4.55,5.02,3537820.00,463403000.00
"Aug 23, 2017",4.49,4.82,4.44,4.6,2989630.00,449053000.00
"Aug 22, 2017",4.38,4.74,3.81,4.46,3358640.00,437971000.00
"Aug 21, 2017",4.85,4.88,4.33,4.39,4064960.00,485218000.00
"Aug 20, 2017",4.43,4.92,4.29,4.86,4519570.00,442870000.00
"Aug 19, 2017",4.3,4.45,4.1,4.43,3801000.00,429611000.00
"Aug 18, 2017",4.57,4.73,4.1,4.3,2588840.00,456631000.00
"Aug 17, 2017",4.81,4.95,4.46,4.58,2609230.00,481390000.00
"Aug 16, 2017",4.8,4.96,4.58,4.83,2607640.00,479668000.00
"Aug 15, 2017",4.73,5.16,4.31,4.79,5107560.00,473033000.00
"Aug 14, 2017",4.83,5.04,4.54,4.72,5089710.00,483469000.00
"Aug 13, 2017",5.05,5.28,4.63,4.79,5823330.00,504705000.00
"Aug 12, 2017",5.58,5.58,4.89,5.05,6782250.00,557670000.00
"Aug 11, 2017",5.6,5.78,5.13,5.54,7567900.00,560241000.00
"Aug 10, 2017",5.24,5.63,5.15,5.6,7501860.00,524375000.00
"Aug 09, 2017",5.38,5.45,4.9,5.27,4960110.00,538244000.00
"Aug 08, 2017",5.64,5.83,5.04,5.41,6867910.00,564066000.00
"Aug 07, 2017",5.18,5.75,4.62,5.64,7792050.00,518233000.00
"Aug 06, 2017",4.32,5.37,4.29,5.21,7075590.00,432028000.00
"Aug 05, 2017",3.67,4.57,3.65,4.32,4831480.00,367228000.00
"Aug 04, 2017",3.87,4.13,3.59,3.67,4324800.00,386797000.00
"Aug 03, 2017",3.54,3.96,3.46,3.84,4766700.00,354471000.00
"Aug 02, 2017",3.02,3.6,2.96,3.51,3739710.00,302169000.00
"Aug 01, 2017",2.77,3.11,2.61,3.01,3257400.00,277390000.00
"Jul 31, 2017",2.74,2.87,2.62,2.78,2651760.00,273812000.00
"Jul 30, 2017",2.87,2.93,2.72,2.72,1530680.00,286809000.00
"Jul 29, 2017",2.98,3.06,2.69,2.87,2116910.00,297597000.00
"Jul 28, 2017",2.76,3.11,2.45,3,3030820.00,276459000.00
"Jul 27, 2017",2.74,2.84,2.6,2.75,1889170.00,274372000.00
"Jul 26, 2017",2.92,2.99,2.5,2.74,3013790.00,291623000.00
"Jul 25, 2017",3.52,3.56,2.76,2.91,2462600.00,351753000.00
"Jul 24, 2017",3.65,3.71,3.39,3.52,1813130.00,364582000.00
"Jul 23, 2017",3.9,3.97,3.5,3.65,2608730.00,390012000.00
"Jul 22, 2017",3.24,4.17,3.23,3.9,3246480.00,324151000.00
"Jul 21, 2017",3.26,3.44,3.13,3.24,2167520.00,326154000.00
"Jul 20, 2017",2.61,3.43,2.61,3.25,2164540.00,260970000.00
"Jul 19, 2017",2.83,2.87,2.53,2.64,2096680.00,282847000.00
"Jul 18, 2017",2.52,2.95,2.38,2.83,2325000.00,252329000.00
"Jul 17, 2017",1.97,2.52,1.94,2.52,1909110.00,196939000.00
"Jul 16, 2017",2.01,2.06,1.77,1.97,1677160.00,201211000.00
"Jul 15, 2017",2.43,2.43,1.98,2.04,2860750.00,242705000.00
"Jul 14, 2017",2.89,2.89,2.33,2.43,2439500.00,289495000.00
"Jul 13, 2017",3.05,3.09,2.72,2.9,1734160.00,305263000.00
"Jul 12, 2017",2.59,3.05,2.42,3.05,1930340.00,258727000.00
"Jul 11, 2017",2.79,2.96,2.49,2.59,3152450.00,278827000.00
"Jul 10, 2017",3.74,3.76,2.73,2.82,2638830.00,373806000.00
"Jul 09, 2017",3.92,3.94,3.75,3.75,1225380.00,392118000.00
"Jul 08, 2017",3.79,3.93,3.5,3.93,1412280.00,379403000.00
"Jul 07, 2017",4.33,4.36,3.71,3.77,2631630.00,432714000.00
"Jul 06, 2017",4.58,4.65,4.24,4.34,2939230.00,457740000.00
"Jul 05, 2017",4.32,4.79,4.28,4.56,5733020.00,431855000.00
"Jul 04, 2017",3.79,4.49,3.75,4.32,5214290.00,378985000.00
"Jul 03, 2017",3.61,3.87,3.48,3.81,2625710.00,361116000.00
"Jul 02, 2017",3.7,3.71,3.51,3.62,2239090.00,369637000.00
"Jul 01, 2017",3.57,4.08,3.53,3.7,2615170.00,357030000.00
"Jun 30, 2017",3.95,3.97,3.51,3.57,2036280.00,394515000.00
"Jun 29, 2017",4.24,4.28,3.9,3.91,1639660.00,423977000.00
"Jun 28, 2017",4.31,4.34,4.03,4.24,2772690.00,431391000.00
"Jun 27, 2017",3.95,4.31,3.66,4.29,2439380.00,395139000.00
"Jun 26, 2017",4.64,4.65,3.53,3.83,6562970.00,464448000.00
"Jun 25, 2017",4.88,4.96,4.45,4.62,3048820.00,488443000.00
"Jun 24, 2017",5.21,5.34,4.73,4.86,2400890.00,521488000.00
"Jun 23, 2017",4.91,5.36,4.81,5.21,2166710.00,491211000.00
"Jun 22, 2017",4.91,5.05,4.8,4.92,2058720.00,490781000.00
"Jun 21, 2017",5.06,5.12,4.87,4.89,2505130.00,506126000.00
"Jun 20, 2017",5.15,5.33,4.93,5.07,3440970.00,514943000.00
"Jun 19, 2017",5.02,5.3,4.93,5.15,3298260.00,502246000.00
"Jun 18, 2017",5.17,5.33,4.98,4.99,1459430.00,517299000.00
"Jun 17, 2017",5.16,5.38,5.03,5.18,2057140.00,516262000.00
"Jun 16, 2017",5.28,5.42,4.95,5.16,1920540.00,527868000.00
"Jun 15, 2017",5.09,5.36,4.34,5.28,3132730.00,508817000.00
"Jun 14, 2017",5.82,6,4.99,5.09,2377380.00,582270000.00
"Jun 13, 2017",5.33,5.86,5.23,5.77,2666350.00,532627000.00
"Jun 12, 2017",6.31,6.49,4.94,5.36,2913670.00,631105000.00
"Jun 11, 2017",5.67,6.4,5.63,6.32,2939820.00,566858000.00
"Jun 10, 2017",6.34,7.01,5.5,5.82,5124700.00,634469000.00
"Jun 09, 2017",5.82,7,5.74,6.34,3963370.00,581550000.00
"Jun 08, 2017",5.29,5.92,5.09,5.82,2984740.00,528517000.00
"Jun 07, 2017",5.48,5.48,4.86,5.27,2448950.00,548427000.00
"Jun 06, 2017",5.69,5.69,4.94,5.51,4467540.00,568531000.00
"Jun 05, 2017",5.33,5.69,5.24,5.64,3095220.00,533405000.00
"Jun 04, 2017",5.16,5.58,4.44,5.35,4447070.00,516357000.00
"Jun 03, 2017",4.69,6.51,4.61,5.19,10124100.00,468617000.00
"Jun 02, 2017",3.4,4.64,3.4,4.53,4988350.00,340371000.00
"Jun 01, 2017",2.94,3.53,2.93,3.44,3224130.00,294035000.00
"May 31, 2017",2.43,3.08,2.39,2.95,2233740.00,242799000.00
"May 30, 2017",2.7,2.76,2.38,2.38,2066020.00,269773000.00
"May 29, 2017",2.48,2.76,2.27,2.68,1475750.00,247786000.00
"May 28, 2017",2.26,2.74,2.26,2.47,1273880.00,225588000.00
"May 27, 2017",2.49,2.61,1.74,2.25,2019910.00,249088000.00
"May 26, 2017",2.35,2.95,2.33,2.49,1994070.00,235176000.00
"May 25, 2017",2.83,2.95,2.29,2.36,2280980.00,282949000.00
"May 24, 2017",2.64,3.07,2.51,2.75,2549760.00,263789000.00
"May 23, 2017",1.88,2.75,1.88,2.57,3640250.00,188212000.00
"May 22, 2017",1.77,1.98,1.75,1.87,1696230.00,176818000.00
"May 21, 2017",1.64,1.79,1.64,1.77,1498620.00,163762000.00
"May 20, 2017",1.57,1.65,1.49,1.64,1019880.00,156886000.00
"May 19, 2017",1.39,1.61,1.37,1.57,1423940.00,139098000.00
"May 18, 2017",1.28,1.4,1.28,1.38,912823.00,128494000.00
"May 17, 2017",1.27,1.43,1.25,1.34,1348780.00,126782000.00
"May 16, 2017",1.42,1.42,1.24,1.26,1209240.00,141828000.00
"May 15, 2017",1.37,1.46,1.32,1.4,1664930.00,137497000.00
"May 14, 2017",1.19,1.42,1.19,1.37,2176080.00,119476000.00
"May 13, 2017",1.11,1.21,1.07,1.19,1559600.00,110983000.00
"May 12, 2017",1.22,1.26,0.799024,1.11,1006640.00,121533000.00
"May 11, 2017",1.21,1.33,1.15,1.2,1606360.00,121449000.00
"May 10, 2017",0.910802,1.36,0.904453,1.2,2897830.00,91080200.00
"May 09, 2017",0.830627,1.11,0.815311,0.917445,845264.00,83062700.00
"May 08, 2017",0.800956,0.853055,0.765106,0.818904,620587.00,80095600.00
"May 07, 2017",0.767301,0.843241,0.752029,0.789317,689834.00,76730100.00
"May 06, 2017",0.733379,0.815748,0.716798,0.798015,526869.00,73337900.00
"May 05, 2017",0.718197,0.782981,0.713954,0.732555,500678.00,71819700.00
"May 04, 2017",0.669921,0.751036,0.66586,0.715918,450198.00,66992100.00
"May 03, 2017",0.622717,0.675319,0.599816,0.669789,443313.00,62271700.00
"May 02, 2017",0.597314,0.6223,0.566792,0.6223,319906.00,59731400.00
"May 01, 2017",0.599764,0.630785,0.581609,0.597523,363535.00,59976400.00
"Apr 30, 2017",0.584291,0.61952,0.577786,0.593739,265313.00,58429100.00
"Apr 29, 2017",0.602079,0.624092,0.572405,0.58611,334335.00,60207900.00
"Apr 28, 2017",0.559614,0.600954,0.529378,0.600954,377319.00,55961400.00
