Date,Open,High,Low,Close,Volume,Market Cap
"Jan 03, 2018",428.23,447.77,419.69,447.53,27060700.00,2636180000.00
"Jan 02, 2018",385.47,429.82,366.95,428.6,25422700.00,2387210000.00
"Jan 01, 2018",420.98,445.46,376.74,385.5,27366000.00,2605740000.00
"Dec 31, 2017",380.71,431.38,377.46,418.96,21278700.00,2355660000.00
"Dec 30, 2017",461.94,462.06,369.14,384.56,26618900.00,2857050000.00
"Dec 29, 2017",413.53,470.86,407.81,463.31,41366100.00,2556520000.00
"Dec 28, 2017",420.53,479.3,372.94,409.57,60271900.00,2533780000.00
"Dec 27, 2017",397.43,476.4,342.22,421.6,65798100.00,2393430000.00
"Dec 26, 2017",219.87,427.11,216.66,397.87,89649200.00,1323500000.00
"Dec 25, 2017",244.16,244.16,216.11,220.01,18920000.00,1468910000.00
"Dec 24, 2017",291.72,291.72,224.09,241.63,14577700.00,1708250000.00
"Dec 23, 2017",292.51,314.15,286.95,288.51,15772600.00,1712400000.00
"Dec 22, 2017",341.75,344.77,244.23,289.79,22788300.00,1999910000.00
"Dec 21, 2017",363.26,381.93,330.41,340.55,19732800.00,1745220000.00
"Dec 20, 2017",387.11,393.7,348.98,362.78,18826800.00,1859370000.00
"Dec 19, 2017",430.55,456.14,374.84,387.42,23525300.00,2066800000.00
"Dec 18, 2017",428.94,476.62,409.93,430.04,26753200.00,2056020000.00
"Dec 17, 2017",457.7,509.99,425.81,427.71,21532200.00,2192630000.00
"Dec 16, 2017",400.71,461.08,395.56,457.47,26412700.00,1918270000.00
"Dec 15, 2017",373.81,403.65,373.79,396.08,32579600.00,1788160000.00
"Dec 14, 2017",365.37,383.02,360.52,373.44,13732500.00,1747280000.00
"Dec 13, 2017",388.2,394.73,355.94,366.3,28852100.00,1855820000.00
"Dec 12, 2017",380.64,399.23,371.32,387.75,27229000.00,1819050000.00
"Dec 11, 2017",371.31,396.37,369.68,379.63,39237900.00,1773700000.00
"Dec 10, 2017",374.78,384.96,328.65,374.21,26008800.00,1193920000.00
"Dec 09, 2017",409.58,415.65,338.1,373.26,24820000.00,1304780000.00
"Dec 08, 2017",447.95,453.42,356.84,409.73,24872700.00,1427030000.00
"Dec 07, 2017",368.22,447.18,361.2,447.18,37367700.00,1173020000.00
"Dec 06, 2017",331.14,371.27,331.14,369.24,31103500.00,1054920000.00
"Dec 05, 2017",331.34,338.96,324.2,331.74,21190000.00,1055560000.00
"Dec 04, 2017",292.85,332.09,292.85,330.67,19053100.00,932938000.00
"Dec 03, 2017",318.83,342.51,296.17,311.99,16500300.00,1015700000.00
"Dec 02, 2017",322.45,327.56,310.75,319.24,16065500.00,1027220000.00
"Dec 01, 2017",283.65,322.74,272.85,322.74,23616200.00,903630000.00
"Nov 30, 2017",273.51,297.65,255.41,285.46,19684400.00,584800000.00
"Nov 29, 2017",285.09,325.31,253.61,269.33,31234400.00,609556000.00
"Nov 28, 2017",301.27,301.27,284.99,286.04,25368700.00,644146000.00
"Nov 27, 2017",299.69,307.44,273.6,300.48,28551400.00,640764000.00
"Nov 26, 2017",304.6,310,273.25,299.79,20582600.00,651255000.00
"Nov 25, 2017",296.49,307.98,277.08,304.7,19070800.00,633916000.00
"Nov 24, 2017",289.12,300.32,283.56,297.26,17307700.00,618155000.00
"Nov 23, 2017",299.29,301,289.76,289.76,17550800.00,639913000.00
"Nov 22, 2017",294.75,301.19,291.73,299.33,19632100.00,630210000.00
"Nov 21, 2017",296.57,301.53,274.78,294.1,23952700.00,634092000.00
"Nov 20, 2017",292.5,302.04,256.51,296.51,28203100.00,625403000.00
"Nov 19, 2017",294.46,295.88,281.27,292.65,16763600.00,629582000.00
"Nov 18, 2017",295.91,299.17,284.36,294.92,17783600.00,632692000.00
"Nov 17, 2017",302.48,308.66,291,297.02,23569000.00,646736000.00
"Nov 16, 2017",274.63,308.34,261.24,303.01,31028800.00,587185000.00
"Nov 15, 2017",255.66,280.37,255.66,273.13,26940000.00,546634000.00
"Nov 14, 2017",252.45,259.37,248.25,255.38,22764400.00,539765000.00
"Nov 13, 2017",218.02,259.44,216.57,251.9,19908200.00,466138000.00
"Nov 12, 2017",241.44,241.44,201.66,218,13218700.00,516226000.00
"Nov 11, 2017",252.63,262.24,237.99,241.58,15969100.00,540148000.00
"Nov 10, 2017",274.44,286.7,248.33,253.59,20860300.00,586777000.00
"Nov 09, 2017",285.18,285.42,270.68,273.57,22690900.00,609733000.00
"Nov 08, 2017",270.43,298.81,268.81,285.47,22643000.00,578193000.00
"Nov 07, 2017",260.04,273.18,260.04,271.27,22712300.00,555997000.00
"Nov 06, 2017",276.58,279.72,259.64,259.85,19432300.00,591355000.00
"Nov 05, 2017",278.1,285.64,273.37,276.28,14591800.00,594608000.00
"Nov 04, 2017",270.45,284.62,259.07,278.66,66891000.00,578248000.00
"Nov 03, 2017",262.93,284.64,260.1,271.12,25755600.00,1934570000.00
"Nov 02, 2017",251.29,273.73,251.29,263.27,23900000.00,1846340000.00
"Nov 01, 2017",239.45,251.29,234.88,250.93,24030900.00,1757760000.00
"Oct 31, 2017",227.38,239.52,226.79,239.52,18364400.00,1667460000.00
"Oct 30, 2017",225.77,230.18,223.09,228.12,22568300.00,1653970000.00
"Oct 29, 2017",211.72,233.22,211.18,227.1,11138200.00,1549720000.00
"Oct 28, 2017",213.13,217.36,209.66,211.84,10550800.00,1558580000.00
"Oct 27, 2017",216.65,220.7,210.38,212.55,14048500.00,1582930000.00
"Oct 26, 2017",206.38,220.18,205.15,216.59,15882500.00,1506580000.00
"Oct 25, 2017",193.74,206.68,188.8,206.32,17013600.00,1405090000.00
